"";"genes"
"850";"PTPN5"
"851";"KIAA0652"
"852";"PGA3"
"853";"KIAA1022"
"854";"ST14"
"855";"YAF2"
"856";"YAF2"
"857";"RAPGEF3"
"858";"TUBA1A"
"859";"TUBA1C"
"860";"TUBA1C"
"861";"DKFZp686L23131"
"862";"RNF41"
"863";"RNF41"
"864";"GPR133"
"865";"CDADC1"
"866";"THSD1"
"867";"ADCY4"
"868";"CFL2"
"869";"SOS2"
"870";"SOS2"
"871";"MUDENG"
"872";"C14orf149"
"873";"EXD2"
"874";"RGS6"
"875";"RGS6"
"876";"RGS6"
"877";"BUB1B"
"878";"CASC5"
"879";"CKMT1B"
"880";"CKMT1B"
"881";"CKMT1B"
"882";"ANXA2"
"883";"MGC15885"
"884";"C16orf59"
"885";"POLR3E"
"886";"POLR3E"
"887";"QPRT"
"888";"TOX3"
"889";"TOX3"
"890";"MTF"
"891";"PELP1"
"892";"NUP88"
"893";"NUP88"
"894";"IKZF3"
"895";"CNP"
"896";"CNP"
"897";"CCDC56"
"898";"TOM1L1"
"899";"SCPEP1"
"900";"TDC1"
"901";"TDC1"
"902";"CA4"
"903";"C17orf80"
"904";"CYTH1"
"905";"CYTH1"
"906";"CYTH1"
"907";"FN3K"
"908";"DSG1"
"909";"LIPG"
"910";"KLF16"
"911";"SPC24"
"912";"RINL"
"913";"LTBP4"
"914";"LTBP4"
"915";"ZNF415"
"916";"ZNF415"
"917";"PRPF31"
"918";"DDX1"
"919";"MDH1"
"920";"MDH1"
"921";"ACTR2"
"922";"RGPD1"
"923";"MARCO"
"924";"WDR69"
"925";"IQCA1"
"926";"SNTA1"
"927";"C21orf9"
"928";"NOL12"
"929";"PPPDE2"
"930";"NUP50"
"931";"NUP50"
"932";"MAPK11"
"933";"MAPK11"
"934";"OXNAD1"
"935";"CTNNB1"
"936";"CTNNB1"
"937";"PPM1M"
"938";"TMF1"
"939";"KIAA1407"
"940";"KIAA1407"
"941";"KIAA1407"
"942";"UPK1B"
"943";"MAN2B2"
"944";"AFAP1"
"945";"MFSD8"
"946";"MFSD8"
"947";"MFSD8"
"948";"MFSD8"
"949";"HPGD"
"950";"HPGD"
"951";"HPGD"
"952";"UGT3A2"
"953";"C7"
"954";"DHFRL1"
"955";"DHFRL1"
"956";"KIF20A"
"957";"EGR1"
"958";"WDR55"
"959";"PCDHA3"
"960";"PCDHA4"
"961";"IRGM"
"962";"ADAMTS2"
"963";"DKFZp686I15217"
"964";"NO145"
"965";"NO145"
"966";"SIRT5"
"967";"KIFC1"
"968";"TCP11"
"969";"TCP11"
"970";"TCP11"
"971";"BMP5"
"972";"LCA5"
"973";"LCA5"
"974";"MEOX2"
"975";"HIP1"
"976";"COL1A2"
"977";"PTCD1"
"978";"SERPINE1"
"979";"FAM185A"
"980";"FAM185A"
"981";"FAM185A"
"982";"ORC5L"
"983";"BCAP29"
"984";"BCAP29"
"985";"BCAP29"
"986";"DPYSL2"
"987";"DPYSL2"
"988";"STMN2"
"989";"PDP1"
"990";"PDP1"
"991";"GRHL2"
"992";"MTBP"
"993";"TSNARE1"
"994";"PYCRL"
"995";"CCDC107"
"996";"CCDC107"
"997";"ALDH1A1"
"998";"STOM"
"999";"KIAA0310"
"1000";"MED12"
"1001";"CHRDL1"
"1002";"PGRMC1"
"1003";"ODZ1"
"1004";"GPR50"
"1005";"OR4F5"
"1006";"DQ595736"
